id,order_id,sale_price,inventory_item_id,returned_at
20383,12389,64.95,36261,
20384,12390,49.59,36264,
20385,12391,44.99,36268,
20386,12385,39,36271,
20387,12393,30,36285,
20388,12392,25,36293,
20389,12394,35.77,36296,
20390,12394,20.24,36302,
20391,12395,51.16,36305,
20392,12397,29.99,36311,
20393,12397,10.11,36317,
20394,12396,55.99,36350,
20395,12399,44.3,36351,
20396,12400,33.6,36354,
20397,12400,148.5,36357,
20398,12401,53.97,36360,
20399,12401,15.99,36363,
20400,12401,46.95,36365,
20401,12401,98,36368,
20402,12401,32.99,36370,
20403,12401,46,36372,
20404,12401,12.86,36376,
20405,12401,69,36378,
20406,12402,38.28,36381,
20407,12402,22.5,36382,
20408,12402,21.99,36387,
20409,12402,78,36389,
20410,12402,52,36392,
20411,12403,214,36395,
20412,12398,7.99,36396,
20413,12404,59.99,36398,
20414,12406,52.59,36418,
20415,12407,194.99,36419,
20416,12408,36.95,36428,
20417,12405,37.95,36431,
20418,12409,34.19,36435,
20419,12410,38.99,36433,
20420,12410,54.95,36437,
20421,12411,49.95,36440,
20422,12410,108,36441,
20423,12410,69,36444,
20424,12412,49.5,36443,
20425,12410,14,36449,
20426,12412,75.6,36448,
20427,12410,33.68,36450,
20428,12413,60,36453,
20429,12414,38.99,36456,
20430,12415,34.39,36457,
20431,12415,51.87,36458,
20432,12415,140,36459,
20433,12416,1.72,36460,
20434,12417,19.99,36462,
20435,12418,92.99,36461,
20436,12417,178,36463,
20437,12417,91.43,36464,
20438,12420,149.95,36465,
20439,12420,46,36466,
20440,12421,199.99,36467,
20441,12422,10.97,36469,
20442,12423,68,36470,
20443,12424,31.92,36473,
20444,12424,55.5,36474,
20445,12419,20.99,36475,
20446,12425,39.99,36476,
20447,12427,37.99,36478,
20448,12426,159.99,36477,
20449,12429,55,36479,
20450,12428,59.5,36480,
20451,12430,29.99,36482,
20452,12421,695,36468,
20453,12431,16.97,36481,
20454,12432,39,36483,
20455,12431,65.4,36485,
20456,12430,38.97,36484,
20457,12431,25,36488,
20458,12433,67.99,36487,
20459,12434,215,36486,
20460,12433,10,36490,
20461,12431,39.99,36489,
20462,12434,205.2,36491,
20463,12434,118.15,36494,
20464,12433,13.5,36492,
20465,12435,12,36493,
20466,12437,122.6,36496,
20467,12436,114.5,36495,
20468,12439,79.99,36503,
20469,12440,14.63,36504,
20470,12441,149.99,36505,
20471,12442,24.95,36506,
20472,12443,12,36507,
20473,12444,59.99,36508,
20474,12444,159.99,36509,
20475,12438,47,36510,
20476,12446,15.9,36512,
20477,12445,23.95,36511,
20478,12446,118,36514,
20479,12445,84,36513,
20480,12448,149.95,36516,
20481,12447,37.5,36515,
20482,12449,19.99,36517,
20483,12450,69.99,36520,
20484,12450,206.96,36522,
20485,12452,199.95,36525,
20486,12453,59,36524,
20487,12451,34,36527,
20488,12453,122.6,36528,
20489,12454,11.97,36530,
20490,12455,33.53,36531,
20491,12456,24.99,36532,
20492,12455,16.67,36533,
20493,12457,7.99,36534,
20494,12458,12.2,36535,
20495,12459,69.5,36536,
20496,12460,29.95,36537,
20497,12461,134,36559,
20498,12462,42,36568,
20499,12463,50,36571,
20500,12464,99.99,36573,
