id,order_id,name,amount_paid
173,2703,chicken-parm,10.25
174,4219,tikka-masala,11.25
175,974,tikka-masala,11.25
176,4029,chicken-parm,10.25
177,3328,tikka-masala,11.25
178,2515,cake,6.75
179,3942,soda,3.75
180,3564,grilled-cheese,9.25
181,2229,tikka-masala,11.25
182,462,chicken-parm,10.25
183,2546,tikka-masala,11.25
184,886,chicken-parm,10.25
185,2251,blt,9.25
186,24,orange-juice,5.25
187,1384,cake,6.75
188,607,tikka-masala,11.25
189,1875,grilled-cheese,9.25
190,932,blt,9.25
191,4560,grilled-cheese,9.25
192,2308,orange-juice,5.25
193,1329,orange-juice,5.25
194,1703,cake,6.75
195,2095,chicken-parm,10.25
196,4842,tikka-masala,11.25
197,3593,cake,6.75
198,3014,cake,6.75
199,3172,grilled-cheese,9.25
200,4147,chicken-parm,10.25
201,4345,grilled-cheese,9.25
202,3554,chicken-parm,10.25
203,2658,chicken-parm,10.25
204,1839,tikka-masala,11.25
205,2579,grilled-cheese,9.25
206,3005,grilled-cheese,9.25
207,4808,tikka-masala,11.25
208,2490,soda,3.75
209,4440,grilled-cheese,9.25
210,4505,blt,9.25
211,2005,chicken-parm,10.25
212,1323,soda,3.75
213,4025,tikka-masala,11.25
214,3154,kale-smoothie,8.75
215,2415,tikka-masala,11.25
216,4078,cake,6.75
217,4544,orange-juice,5.25
218,1770,grilled-cheese,9.25
219,1647,chicken-parm,10.25
220,314,tikka-masala,11.25
221,365,banana-smoothie,8.75
222,508,grilled-cheese,9.25
223,477,blt,9.25
224,3645,soda,3.75
225,1620,cake,6.75
226,2392,orange-juice,5.25
227,1721,tikka-masala,11.25
228,1499,blt,9.25
229,2973,grilled-cheese,9.25
230,4855,blt,9.25
231,3989,soda,3.75
232,2167,tikka-masala,11.25
233,763,grilled-cheese,9.25
234,3777,tikka-masala,11.25
235,2312,orange-juice,5.25
236,2142,tikka-masala,11.25
237,3172,orange-juice,5.25
238,4200,grilled-cheese,9.25
239,4157,soda,3.75
240,77,tikka-masala,11.25
241,12,tikka-masala,11.25
242,4256,tikka-masala,11.25
243,4427,blt,9.25
244,4599,grilled-cheese,9.25
245,3992,grilled-cheese,9.25
246,1748,tikka-masala,11.25
247,206,soda,3.75
248,3053,soda,3.75
249,2397,orange-juice,5.25
250,1588,chicken-parm,10.25
251,3277,tikka-masala,11.25
252,4918,grilled-cheese,9.25
253,1135,soda,3.75
254,939,chicken-parm,10.25
255,4336,blt,9.25
256,4227,blt,9.25
257,3,chicken-parm,10.25
258,2496,orange-juice,5.25
259,4126,soda,3.75
260,2540,chicken-parm,10.25
261,2933,blt,9.25
262,3916,grilled-cheese,9.25
263,124,soda,3.75
264,4024,cake,6.75
265,2077,soda,3.75
266,1375,tikka-masala,11.25
267,2593,blt,9.25
268,889,tikka-masala,11.25
269,858,soda,3.75
270,358,tikka-masala,11.25
271,2634,soda,3.75
272,1607,chicken-parm,10.25
273,681,tikka-masala,11.25
274,116,chicken-parm,10.25
275,2083,soda,3.75
276,4773,tikka-masala,11.25
277,4993,chicken-parm,10.25
278,501,tikka-masala,11.25
279,3575,tikka-masala,11.25
280,1290,tikka-masala,11.25
281,4381,tikka-masala,11.25
282,2783,blt,9.25
283,4843,grilled-cheese,9.25
284,416,tikka-masala,11.25
285,1692,blt,9.25
286,1372,tikka-masala,11.25
287,4252,chicken-parm,10.25
288,534,soda,3.75
289,3265,soda,3.75
290,678,chicken-parm,10.25
291,1696,tikka-masala,11.25
292,4016,soda,3.75
293,306,tikka-masala,11.25
294,432,grilled-cheese,9.25
295,1331,grilled-cheese,9.25
296,2077,grilled-cheese,9.25
297,615,grilled-cheese,9.25
298,1780,tikka-masala,11.25
299,786,tikka-masala,11.25
300,4649,tikka-masala,11.25
301,462,blt,9.25
302,1450,grilled-cheese,9.25
303,1038,soda,3.75
304,268,chicken-parm,10.25
305,2077,chicken-parm,10.25
306,4822,chicken-parm,10.25
307,480,tikka-masala,11.25
308,1752,blt,9.25
309,3023,chicken-parm,10.25
310,917,tikka-masala,11.25
311,1494,tikka-masala,11.25
312,3708,tikka-masala,11.25
313,523,blt,9.25
314,978,soda,3.75
315,2970,orange-juice,5.25
316,4078,soda,3.75
317,951,tikka-masala,11.25
318,297,blt,9.25
319,1269,chicken-parm,10.25
320,4305,chicken-parm,10.25
321,4794,soda,3.75
322,1500,grilled-cheese,9.25
323,4220,blt,9.25
324,282,cake,6.75
325,1829,tikka-masala,11.25
326,1846,tikka-masala,11.25
327,3681,tikka-masala,11.25
328,1085,chicken-parm,10.25
329,4334,grilled-cheese,9.25
330,4911,soda,3.75
331,3949,soda,3.75
332,4793,soda,3.75
333,4486,tikka-masala,11.25
334,4890,blt,9.25
335,1308,grilled-cheese,9.25
336,2074,orange-juice,5.25
337,4229,tikka-masala,11.25
338,4012,tikka-masala,11.25
339,299,tikka-masala,11.25
340,3513,soda,3.75
341,234,grilled-cheese,9.25
342,1037,tikka-masala,11.25
343,138,cake,6.75
344,1508,orange-juice,5.25
345,4944,chicken-parm,10.25
346,2163,grilled-cheese,9.25
347,291,soda,3.75
348,3385,tikka-masala,11.25
349,850,grilled-cheese,9.25
350,1069,grilled-cheese,9.25
351,795,tikka-masala,11.25
352,731,grilled-cheese,9.25
353,2167,chicken-parm,10.25
354,2805,chicken-parm,10.25
355,2474,tikka-masala,11.25
356,2669,tikka-masala,11.25
357,3927,tikka-masala,11.25
358,3583,tikka-masala,11.25
359,2871,chicken-parm,10.25
360,1628,soda,3.75
361,2561,soda,3.75
362,3748,orange-juice,5.25
363,2686,tikka-masala,11.25
364,4723,chicken-parm,10.25
365,4961,soda,3.75
366,3772,chicken-parm,10.25
367,880,chicken-parm,10.25
368,2191,soda,3.75
369,3582,blt,9.25
370,2423,blt,9.25
371,3416,soda,3.75
372,1502,grilled-cheese,9.25
373,753,grilled-cheese,9.25
374,62,tikka-masala,11.25
375,4164,tikka-masala,11.25
376,4759,tikka-masala,11.25
377,985,orange-juice,5.25
378,2090,chicken-parm,10.25
379,924,grilled-cheese,9.25
380,1347,chicken-parm,10.25
381,2069,grilled-cheese,9.25
382,1489,chicken-parm,10.25
383,2991,blt,9.25
384,632,soda,3.75
385,4336,tikka-masala,11.25
386,3133,soda,3.75
387,1824,tikka-masala,11.25
388,1145,chicken-parm,10.25
389,1309,grilled-cheese,9.25
390,3532,tikka-masala,11.25
391,4119,chicken-parm,10.25
392,3426,chicken-parm,10.25
393,1624,grilled-cheese,9.25
394,4725,tikka-masala,11.25
395,1424,grilled-cheese,9.25
396,1519,soda,3.75
397,3595,soda,3.75
398,1256,blt,9.25
399,553,grilled-cheese,9.25
400,3447,blt,9.25
401,4038,grilled-cheese,9.25
402,4992,grilled-cheese,9.25
403,1847,chicken-parm,10.25
404,4735,blt,9.25
405,4262,chicken-parm,10.25
406,4231,blt,9.25
407,849,orange-juice,5.25
408,2234,tikka-masala,11.25
409,1738,soda,3.75
410,3512,chicken-parm,10.25
411,4186,grilled-cheese,9.25
412,2112,grilled-cheese,9.25
413,1956,chicken-parm,10.25
414,4831,blt,9.25
415,4116,soda,3.75
416,3096,blt,9.25
417,250,soda,3.75
418,3352,grilled-cheese,9.25
419,2955,tikka-masala,11.25
420,2586,chicken-parm,10.25
421,4959,soda,3.75
422,21,chicken-parm,10.25
423,2608,cake,6.75
424,4248,soda,3.75
425,235,tikka-masala,11.25
426,3032,tikka-masala,11.25
427,1730,blt,9.25
428,1422,blt,9.25
429,4561,chicken-parm,10.25
430,2593,chicken-parm,10.25
431,2130,grilled-cheese,9.25
432,2243,grilled-cheese,9.25
433,2100,tikka-masala,11.25
434,2248,tikka-masala,11.25
435,416,tikka-masala,11.25
436,765,tikka-masala,11.25
437,4449,blt,9.25
438,4338,soda,3.75
439,4065,blt,9.25
440,3050,blt,9.25
441,1456,grilled-cheese,9.25
442,3228,tikka-masala,11.25
443,4611,tikka-masala,11.25
444,4803,tikka-masala,11.25
445,2602,blt,9.25
446,2704,tikka-masala,11.25
447,1108,tikka-masala,11.25
448,1493,chicken-parm,10.25
449,2380,tikka-masala,11.25
450,2202,blt,9.25
451,4004,blt,9.25
452,2498,grilled-cheese,9.25
453,4938,tikka-masala,11.25
454,957,blt,9.25
455,3659,grilled-cheese,9.25
456,4701,tikka-masala,11.25
457,3393,tikka-masala,11.25
458,4548,grilled-cheese,9.25
459,2009,blt,9.25
460,4597,banana-smoothie,8.75
461,4416,blt,9.25
462,3911,grilled-cheese,9.25
463,1819,soda,3.75
464,3777,chicken-parm,10.25
465,1198,soda,3.75
466,2435,chicken-parm,10.25
467,3288,grilled-cheese,9.25
468,4580,soda,3.75
469,4813,grilled-cheese,9.25
470,1847,tikka-masala,11.25
471,2386,grilled-cheese,9.25
472,4810,orange-juice,5.25
473,3901,blt,9.25
474,2347,soda,3.75
475,1252,chicken-parm,10.25
476,957,chicken-parm,10.25
477,12,tikka-masala,11.25
478,3546,soda,3.75
479,3815,soda,3.75
480,626,grilled-cheese,9.25
481,1059,tikka-masala,11.25
482,1597,blt,9.25
483,4256,tikka-masala,11.25
484,2574,chicken-parm,10.25
485,3679,tikka-masala,11.25
486,705,grilled-cheese,9.25
487,4026,blt,9.25
488,3232,tikka-masala,11.25
489,1860,soda,3.75
490,909,chicken-parm,10.25
491,727,tikka-masala,11.25
492,3931,chicken-parm,10.25
493,1038,cake,6.75
494,4565,grilled-cheese,9.25
495,4518,cake,6.75
496,2743,soda,3.75
497,4761,blt,9.25
498,2224,soda,3.75
499,2592,grilled-cheese,9.25
500,4877,grilled-cheese,9.25
501,910,grilled-cheese,9.25
502,274,soda,3.75
503,2210,tikka-masala,11.25
504,1730,tikka-masala,11.25
505,3681,tikka-masala,11.25
506,3263,tikka-masala,11.25
507,1430,blt,9.25
508,2902,tikka-masala,11.25
509,561,orange-juice,5.25
510,3927,soda,3.75
511,362,chicken-parm,10.25
512,2673,grilled-cheese,9.25
513,2378,tikka-masala,11.25
514,1364,tikka-masala,11.25
515,685,blt,9.25
516,2306,soda,3.75
517,4075,soda,3.75
518,3982,blt,9.25
519,928,chicken-parm,10.25
520,2558,tikka-masala,11.25
521,200,grilled-cheese,9.25
522,93,blt,9.25
523,303,grilled-cheese,9.25
524,3189,blt,9.25
525,2931,blt,9.25
526,724,orange-juice,5.25
527,4935,soda,3.75
528,2307,grilled-cheese,9.25
529,1718,chicken-parm,10.25
530,3144,blt,9.25
531,2428,grilled-cheese,9.25
532,4465,chicken-parm,10.25
533,800,chicken-parm,10.25
534,2383,blt,9.25
535,377,chicken-parm,10.25
536,3769,grilled-cheese,9.25
537,1777,grilled-cheese,9.25
538,4689,grilled-cheese,9.25
539,1179,blt,9.25
540,1466,chicken-parm,10.25
541,2789,grilled-cheese,9.25
542,4451,chicken-parm,10.25
543,1087,tikka-masala,11.25
544,4481,chicken-parm,10.25
545,2665,tikka-masala,11.25
546,4096,chicken-parm,10.25
547,3048,tikka-masala,11.25
548,4600,grilled-cheese,9.25
549,1130,orange-juice,5.25
550,1608,grilled-cheese,9.25
551,4241,grilled-cheese,9.25
552,1740,grilled-cheese,9.25
553,3456,tikka-masala,11.25
554,1434,chicken-parm,10.25
555,405,tikka-masala,11.25
556,2199,soda,3.75
557,2822,chicken-parm,10.25
558,4881,blt,9.25
559,3745,grilled-cheese,9.25
560,1730,grilled-cheese,9.25
561,1439,grilled-cheese,9.25
562,1997,tikka-masala,11.25
563,4859,grilled-cheese,9.25
564,1695,blt,9.25
565,2310,tikka-masala,11.25
566,4251,soda,3.75
567,2452,grilled-cheese,9.25
568,4540,soda,3.75
569,2421,chicken-parm,10.25
570,4569,soda,3.75
571,2126,soda,3.75
572,758,soda,3.75
573,402,soda,3.75
574,3866,soda,3.75
575,2046,soda,3.75
576,63,tikka-masala,11.25
577,4461,tikka-masala,11.25
578,2835,soda,3.75
579,4183,chicken-parm,10.25
580,2493,orange-juice,5.25
581,207,grilled-cheese,9.25
582,3947,chicken-parm,10.25
583,483,chicken-parm,10.25
584,915,grilled-cheese,9.25
585,985,tikka-masala,11.25
586,1120,chicken-parm,10.25
587,3042,tikka-masala,11.25
588,1935,tikka-masala,11.25
589,3779,blt,9.25
590,4397,blt,9.25
591,1618,grilled-cheese,9.25
592,2392,blt,9.25
593,2992,tikka-masala,11.25
594,3995,chicken-parm,10.25
595,1171,tikka-masala,11.25
596,726,tikka-masala,11.25
597,1518,blt,9.25
598,1348,tikka-masala,11.25
599,3721,chicken-parm,10.25
600,2884,chicken-parm,10.25
601,2173,tikka-masala,11.25
602,2165,orange-juice,5.25
603,3201,blt,9.25
604,2013,grilled-cheese,9.25
605,4042,tikka-masala,11.25
606,4463,tikka-masala,11.25
607,2524,tikka-masala,11.25
608,3033,blt,9.25
609,3445,tikka-masala,11.25
610,4016,cake,6.75
611,693,chicken-parm,10.25
612,3365,soda,3.75
613,2394,tikka-masala,11.25
614,3898,cake,6.75
615,3848,tikka-masala,11.25
616,3518,tikka-masala,11.25
617,2019,blt,9.25
618,894,soda,3.75
619,4227,grilled-cheese,9.25
620,2001,tikka-masala,11.25
621,3328,tikka-masala,11.25
622,4590,soda,3.75
623,4288,grilled-cheese,9.25
624,5,tikka-masala,11.25
625,1803,grilled-cheese,9.25
626,4288,orange-juice,5.25
627,3533,tikka-masala,11.25
628,795,soda,3.75
629,2152,cake,6.75
630,51,banana-smoothie,8.75
631,4643,chicken-parm,10.25
632,3428,orange-juice,5.25
633,4874,tikka-masala,11.25
634,3397,orange-juice,5.25
635,3915,tikka-masala,11.25
636,369,tikka-masala,11.25
637,3322,chicken-parm,10.25
638,1233,blt,9.25
639,2854,chicken-parm,10.25
640,3582,tikka-masala,11.25
641,165,blt,9.25
642,3937,blt,9.25
643,533,tikka-masala,11.25
644,4054,tikka-masala,11.25
645,3360,blt,9.25
646,1606,soda,3.75
647,348,chicken-parm,10.25
648,133,chicken-parm,10.25
649,1775,chicken-parm,10.25
650,1780,kale-smoothie,8.75
651,4404,blt,9.25
652,317,tikka-masala,11.25
653,1178,soda,3.75
654,3138,soda,3.75
655,1111,grilled-cheese,9.25
656,2595,grilled-cheese,9.25
657,1178,tikka-masala,11.25
658,3546,tikka-masala,11.25
659,2113,tikka-masala,11.25
660,3290,chicken-parm,10.25
661,2824,tikka-masala,11.25
662,3405,grilled-cheese,9.25
663,569,grilled-cheese,9.25
664,3400,blt,9.25
665,316,tikka-masala,11.25
666,3489,grilled-cheese,9.25
667,985,soda,3.75
668,1492,tikka-masala,11.25
669,1649,tikka-masala,11.25
670,2333,orange-juice,5.25
671,599,chicken-parm,10.25
672,2677,chicken-parm,10.25
673,1875,orange-juice,5.25
674,3374,tikka-masala,11.25
675,4531,tikka-masala,11.25
676,763,chicken-parm,10.25
677,68,tikka-masala,11.25
678,4096,chicken-parm,10.25
679,1161,tikka-masala,11.25
680,1928,chicken-parm,10.25
681,3487,blt,9.25
682,1066,tikka-masala,11.25
683,1329,tikka-masala,11.25
684,3258,tikka-masala,11.25
685,3376,chicken-parm,10.25
686,996,grilled-cheese,9.25
687,3488,grilled-cheese,9.25
688,129,orange-juice,5.25
689,4277,orange-juice,5.25
690,3863,chicken-parm,10.25
691,514,tikka-masala,11.25
692,3539,banana-smoothie,8.75
693,2454,tikka-masala,11.25
694,997,chicken-parm,10.25
695,4885,cake,6.75
696,3173,grilled-cheese,9.25
697,3898,tikka-masala,11.25
698,4653,grilled-cheese,9.25
699,3017,grilled-cheese,9.25
700,98,orange-juice,5.25
701,1407,grilled-cheese,9.25
702,3421,tikka-masala,11.25
703,4288,chicken-parm,10.25
704,2343,blt,9.25
705,3287,orange-juice,5.25
706,2242,tikka-masala,11.25
707,1687,tikka-masala,11.25
708,4631,grilled-cheese,9.25
709,3711,tikka-masala,11.25
710,4240,grilled-cheese,9.25
711,4798,chicken-parm,10.25
712,2873,soda,3.75
713,4592,grilled-cheese,9.25
714,447,tikka-masala,11.25
715,4900,blt,9.25
716,3683,blt,9.25
717,4019,blt,9.25
718,1904,blt,9.25
719,3853,blt,9.25
720,2408,chicken-parm,10.25
721,4020,chicken-parm,10.25
722,3010,blt,9.25
723,4537,orange-juice,5.25
724,2228,orange-juice,5.25
725,2120,chicken-parm,10.25
726,2790,soda,3.75
727,3916,grilled-cheese,9.25
728,2209,tikka-masala,11.25
729,4651,grilled-cheese,9.25
730,951,tikka-masala,11.25
731,382,tikka-masala,11.25
732,4261,grilled-cheese,9.25
733,1707,blt,9.25
734,2523,chicken-parm,10.25
735,4770,blt,9.25
736,1528,tikka-masala,11.25
737,4116,tikka-masala,11.25
738,817,cake,6.75
739,925,grilled-cheese,9.25
740,1486,grilled-cheese,9.25
741,3955,grilled-cheese,9.25
742,3720,soda,3.75
743,4228,blt,9.25
744,4912,soda,3.75
745,4000,grilled-cheese,9.25
746,1676,tikka-masala,11.25
747,138,tikka-masala,11.25
748,2901,soda,3.75
749,3179,chicken-parm,10.25
750,4082,grilled-cheese,9.25
751,1857,chicken-parm,10.25
752,2087,soda,3.75
753,631,grilled-cheese,9.25
754,1694,tikka-masala,11.25
755,698,orange-juice,5.25
756,3749,soda,3.75
757,571,soda,3.75
758,273,cake,6.75
759,2986,soda,3.75
760,973,chicken-parm,10.25
761,987,blt,9.25
762,3273,tikka-masala,11.25
763,1306,grilled-cheese,9.25
764,2132,chicken-parm,10.25
765,2112,grilled-cheese,9.25
766,806,tikka-masala,11.25
767,4306,chicken-parm,10.25
768,3822,soda,3.75
769,169,grilled-cheese,9.25
770,3478,grilled-cheese,9.25
771,1136,soda,3.75
772,631,soda,3.75
773,4569,tikka-masala,11.25
774,3357,tikka-masala,11.25
775,2926,orange-juice,5.25
776,234,cake,6.75
777,1950,soda,3.75
778,1077,grilled-cheese,9.25
779,1868,tikka-masala,11.25
780,2789,grilled-cheese,9.25
781,1396,tikka-masala,11.25
782,1996,soda,3.75
783,2454,tikka-masala,11.25
784,3100,tikka-masala,11.25
785,4783,tikka-masala,11.25
786,897,blt,9.25
787,1210,orange-juice,5.25
788,1517,cake,6.75
789,3189,tikka-masala,11.25
790,996,orange-juice,5.25
791,892,grilled-cheese,9.25
792,2580,chicken-parm,10.25
793,3556,tikka-masala,11.25
794,1003,tikka-masala,11.25
795,2345,grilled-cheese,9.25
796,4445,grilled-cheese,9.25
797,4178,blt,9.25
798,265,cake,6.75
799,3866,grilled-cheese,9.25
800,42,chicken-parm,10.25
801,2968,chicken-parm,10.25
802,3132,blt,9.25
803,1860,blt,9.25
804,1627,soda,3.75
805,4243,blt,9.25
806,4647,orange-juice,5.25
807,3664,tikka-masala,11.25
808,1093,grilled-cheese,9.25
809,2732,grilled-cheese,9.25
810,768,grilled-cheese,9.25
811,4500,tikka-masala,11.25
812,3440,soda,3.75
813,4579,tikka-masala,11.25
814,376,grilled-cheese,9.25
815,4543,chicken-parm,10.25
816,3923,grilled-cheese,9.25
817,2222,chicken-parm,10.25
818,1069,chicken-parm,10.25
819,2494,tikka-masala,11.25
820,1966,cake,6.75
821,1977,grilled-cheese,9.25
822,2768,tikka-masala,11.25
823,2101,blt,9.25
824,1974,blt,9.25
825,2102,grilled-cheese,9.25
826,1257,grilled-cheese,9.25
827,373,grilled-cheese,9.25
828,1451,grilled-cheese,9.25
829,1984,chicken-parm,10.25
830,695,soda,3.75
831,2315,orange-juice,5.25
832,835,chicken-parm,10.25
833,4959,tikka-masala,11.25
834,3022,cake,6.75
835,3180,orange-juice,5.25
836,1371,soda,3.75
837,459,blt,9.25
838,964,tikka-masala,11.25
839,4989,blt,9.25
840,4791,orange-juice,5.25
841,2498,blt,9.25
842,1900,banana-smoothie,8.75
843,1587,soda,3.75
844,4402,grilled-cheese,9.25
845,1873,chicken-parm,10.25
846,3594,blt,9.25
847,2638,blt,9.25
848,3132,blt,9.25
849,659,tikka-masala,11.25
850,3459,soda,3.75
851,3068,soda,3.75
852,2728,grilled-cheese,9.25
853,2272,grilled-cheese,9.25
854,3044,grilled-cheese,9.25
855,1394,soda,3.75
856,1990,grilled-cheese,9.25
857,3739,tikka-masala,11.25
858,2854,orange-juice,5.25
859,3737,tikka-masala,11.25
860,1205,chicken-parm,10.25
861,4498,cake,6.75
862,696,tikka-masala,11.25
863,473,blt,9.25
864,4303,grilled-cheese,9.25
865,155,chicken-parm,10.25
866,2310,chicken-parm,10.25
867,2262,cake,6.75
868,4903,chicken-parm,10.25
869,4090,grilled-cheese,9.25
870,4583,blt,9.25
871,3617,tikka-masala,11.25
872,2808,grilled-cheese,9.25
873,298,grilled-cheese,9.25
874,3152,grilled-cheese,9.25
875,2567,orange-juice,5.25
876,3942,blt,9.25
877,1087,chicken-parm,10.25
878,3489,tikka-masala,11.25
879,2801,chicken-parm,10.25
880,862,orange-juice,5.25
881,2949,tikka-masala,11.25
882,226,tikka-masala,11.25
883,3313,grilled-cheese,9.25
884,4582,blt,9.25
885,2003,blt,9.25
886,3819,chicken-parm,10.25
887,4606,soda,3.75
888,1374,soda,3.75
889,3560,banana-smoothie,8.75
890,2793,chicken-parm,10.25
891,4912,soda,3.75
892,2022,orange-juice,5.25
893,4363,tikka-masala,11.25
894,1652,chicken-parm,10.25
895,1103,grilled-cheese,9.25
896,4635,soda,3.75
897,4136,grilled-cheese,9.25
898,3873,soda,3.75
899,1444,soda,3.75
900,4080,tikka-masala,11.25
901,2847,tikka-masala,11.25
902,1858,chicken-parm,10.25
903,1307,soda,3.75
904,1902,orange-juice,5.25
905,4614,soda,3.75
906,4743,tikka-masala,11.25
907,3647,soda,3.75
908,2825,chicken-parm,10.25
909,982,grilled-cheese,9.25
910,2087,cake,6.75
911,3639,tikka-masala,11.25
912,3569,blt,9.25
913,2190,chicken-parm,10.25
914,4756,orange-juice,5.25
915,1330,cake,6.75
916,3080,chicken-parm,10.25
917,3882,tikka-masala,11.25
918,744,chicken-parm,10.25
919,4357,grilled-cheese,9.25
920,4157,cake,6.75
921,998,chicken-parm,10.25
922,169,grilled-cheese,9.25
923,3689,orange-juice,5.25
924,2258,grilled-cheese,9.25
925,4233,orange-juice,5.25
926,439,tikka-masala,11.25
927,3015,chicken-parm,10.25
928,4042,grilled-cheese,9.25
929,3597,chicken-parm,10.25
930,920,chicken-parm,10.25
931,1030,blt,9.25
932,982,grilled-cheese,9.25
933,3013,grilled-cheese,9.25
934,4126,orange-juice,5.25
935,983,tikka-masala,11.25
936,3420,blt,9.25
937,1780,blt,9.25
938,2559,tikka-masala,11.25
939,2769,tikka-masala,11.25
940,4851,tikka-masala,11.25
941,240,tikka-masala,11.25
942,4640,grilled-cheese,9.25
943,517,grilled-cheese,9.25
944,3131,tikka-masala,11.25
945,4631,chicken-parm,10.25
946,4890,blt,9.25
947,4005,blt,9.25
948,4073,tikka-masala,11.25
