id,ordered_at,delivered_at,delivered_to
261,10/2/2015 18:30,10/2/2015 18:48,25
262,10/3/2015 23:15,10/3/2015 23:45,568
263,11/8/2015 23:41,11/9/2015 0:04,174
264,11/29/2015 22:08,11/29/2015 22:27,445
265,9/12/2015 20:20,9/12/2015 20:23,466
266,11/10/2015 22:05,11/10/2015 22:20,682
267,10/27/2015 0:32,10/27/2015 0:34,585
268,11/24/2015 14:15,11/24/2015 14:26,151
269,11/23/2015 13:53,11/23/2015 14:16,564
270,11/6/2015 0:59,11/6/2015 1:22,445
271,11/18/2015 6:54,11/18/2015 6:59,961
272,10/21/2015 4:20,10/21/2015 4:24,2
273,11/30/2015 7:16,11/30/2015 7:24,880
274,9/24/2015 0:42,9/24/2015 0:56,560
275,11/17/2015 2:04,11/17/2015 2:26,515
276,11/28/2015 15:21,11/28/2015 15:31,939
277,9/25/2015 11:57,9/25/2015 12:14,865
278,10/5/2015 20:23,10/5/2015 20:28,842
279,11/15/2015 3:14,11/15/2015 3:32,963
280,11/22/2015 3:49,11/22/2015 3:55,694
281,10/12/2015 1:37,10/12/2015 1:55,892
282,8/28/2015 15:28,8/28/2015 15:45,388
283,10/17/2015 6:43,10/17/2015 6:57,5
284,11/26/2015 1:01,11/26/2015 1:22,31
285,9/15/2015 8:50,9/15/2015 9:11,322
286,11/16/2015 19:26,11/16/2015 19:34,850
287,10/2/2015 11:18,10/2/2015 11:26,340
288,8/24/2015 8:31,8/24/2015 8:42,962
289,10/25/2015 7:31,10/25/2015 7:48,785
290,11/6/2015 7:04,11/6/2015 7:08,394
291,9/20/2015 7:07,9/20/2015 7:14,7
292,10/27/2015 20:07,10/27/2015 20:09,317
293,11/25/2015 16:01,11/25/2015 16:30,796
294,10/30/2015 21:03,10/30/2015 21:04,482
295,10/31/2015 13:03,10/31/2015 13:24,306
296,11/24/2015 9:19,11/24/2015 9:48,105
297,11/6/2015 19:03,11/6/2015 19:23,473
298,10/21/2015 2:39,10/21/2015 2:41,541
299,11/6/2015 12:30,11/6/2015 12:54,690
300,11/19/2015 21:36,11/19/2015 22:04,407
301,10/29/2015 2:06,10/29/2015 2:16,856
302,11/13/2015 15:26,11/13/2015 15:44,114
303,10/12/2015 10:43,10/12/2015 10:57,856
304,11/23/2015 19:08,11/23/2015 19:08,875
305,11/5/2015 13:23,11/5/2015 13:23,103
306,11/5/2015 21:44,11/5/2015 21:45,347
307,10/23/2015 19:05,10/23/2015 19:32,170
308,9/23/2015 12:37,9/23/2015 12:39,471
309,10/24/2015 17:28,10/24/2015 17:35,983
310,9/19/2015 18:30,9/19/2015 18:48,20
311,11/20/2015 7:26,11/20/2015 7:30,554
312,10/19/2015 20:18,10/19/2015 20:41,912
313,11/4/2015 0:59,11/4/2015 1:21,843
314,11/27/2015 21:44,11/27/2015 21:46,34
315,10/27/2015 11:23,10/27/2015 11:40,220
316,11/29/2015 8:34,11/29/2015 9:01,717
317,10/2/2015 23:38,10/2/2015 23:42,907
318,11/19/2015 1:15,11/19/2015 1:27,844
319,10/11/2015 5:22,10/11/2015 5:40,7
320,11/14/2015 9:51,11/14/2015 10:00,59
321,11/8/2015 2:17,11/8/2015 2:40,635
322,11/3/2015 21:30,11/3/2015 21:34,956
323,9/11/2015 13:43,9/11/2015 14:04,9
324,10/30/2015 19:29,10/30/2015 19:48,550
325,10/8/2015 5:43,10/8/2015 5:52,777
326,10/19/2015 8:08,10/19/2015 8:22,788
327,9/14/2015 22:52,9/14/2015 23:05,156
328,10/5/2015 1:33,10/5/2015 1:58,890
329,10/25/2015 22:34,10/25/2015 22:50,31
330,8/28/2015 21:59,8/28/2015 22:06,250
331,10/22/2015 9:45,10/22/2015 10:00,4
332,10/31/2015 14:38,10/31/2015 14:53,740
333,10/16/2015 16:45,10/16/2015 16:47,448
334,10/23/2015 5:03,10/23/2015 5:20,41
335,11/27/2015 2:05,11/27/2015 2:17,682
336,9/21/2015 18:30,9/21/2015 18:58,576
337,11/10/2015 20:30,11/10/2015 20:49,155
338,10/9/2015 20:48,10/9/2015 21:05,276
339,11/15/2015 14:16,11/15/2015 14:32,357
340,11/21/2015 10:12,11/21/2015 10:16,466
341,10/8/2015 5:36,10/8/2015 5:59,574
342,11/5/2015 9:54,11/5/2015 10:23,663
343,9/16/2015 3:56,9/16/2015 3:59,343
344,9/6/2015 9:32,9/6/2015 9:44,676
345,11/12/2015 15:40,11/12/2015 16:01,362
346,10/5/2015 9:57,10/5/2015 10:27,416
347,12/1/2015 10:17,12/1/2015 10:35,594
348,11/14/2015 6:39,11/14/2015 7:08,383
349,9/19/2015 3:25,9/19/2015 3:33,714
350,9/24/2015 10:06,9/24/2015 10:19,395
351,11/27/2015 6:45,11/27/2015 7:06,24
352,11/11/2015 0:57,11/11/2015 1:26,633
353,10/24/2015 13:22,10/24/2015 13:22,323
354,11/30/2015 23:59,12/1/2015 0:22,156
355,10/6/2015 21:33,10/6/2015 21:39,205
356,10/31/2015 22:47,10/31/2015 22:57,390
357,9/4/2015 0:34,9/4/2015 0:37,151
358,10/25/2015 19:41,10/25/2015 19:46,7
359,9/25/2015 20:53,9/25/2015 21:08,963
360,10/27/2015 17:26,10/27/2015 17:52,33
361,11/20/2015 12:22,11/20/2015 12:46,487
362,9/26/2015 0:23,9/26/2015 0:50,867
363,10/22/2015 2:44,10/22/2015 2:57,425
364,11/10/2015 8:43,11/10/2015 9:05,890
365,8/30/2015 15:08,8/30/2015 15:18,7
366,10/15/2015 18:16,10/15/2015 18:26,570
367,11/30/2015 4:12,11/30/2015 4:33,659
368,10/31/2015 20:36,10/31/2015 20:37,97
369,9/30/2015 1:21,9/30/2015 1:27,239
370,11/29/2015 7:36,11/29/2015 7:58,95
371,8/12/2015 9:03,8/12/2015 9:08,440
372,8/20/2015 5:01,8/20/2015 5:14,584
373,10/29/2015 16:38,10/29/2015 16:47,647
374,11/24/2015 0:50,11/24/2015 1:12,23
375,10/29/2015 12:34,10/29/2015 12:38,131
376,11/25/2015 15:28,11/25/2015 15:43,964
377,11/12/2015 0:28,11/12/2015 0:30,538
378,11/5/2015 18:32,11/5/2015 18:58,471
379,10/13/2015 15:23,10/13/2015 15:32,656
380,10/16/2015 19:41,10/16/2015 19:49,974
381,9/3/2015 15:42,9/3/2015 15:58,817
382,11/11/2015 11:53,11/11/2015 12:11,174
383,10/8/2015 15:42,10/8/2015 15:42,409
384,11/12/2015 5:15,11/12/2015 5:36,973
385,11/4/2015 22:06,11/4/2015 22:10,54
386,10/23/2015 1:11,10/23/2015 1:40,461
387,10/10/2015 20:59,10/10/2015 21:24,991
388,10/15/2015 21:30,10/15/2015 21:57,799
389,11/20/2015 14:58,11/20/2015 15:10,33
390,10/10/2015 23:34,10/10/2015 23:59,323
391,11/2/2015 8:42,11/2/2015 8:45,454
392,11/24/2015 19:38,11/24/2015 20:05,404
393,9/25/2015 9:36,9/25/2015 9:52,9
394,10/30/2015 13:22,10/30/2015 13:52,79
395,11/13/2015 2:12,11/13/2015 2:24,819
396,10/14/2015 16:13,10/14/2015 16:40,823
397,11/7/2015 1:20,11/7/2015 1:36,116
398,11/24/2015 21:30,11/24/2015 21:46,581
399,9/22/2015 7:18,9/22/2015 7:25,295
400,11/27/2015 16:11,11/27/2015 16:22,154
401,10/14/2015 22:43,10/14/2015 22:50,599
402,9/17/2015 12:45,9/17/2015 13:09,239
403,9/7/2015 4:00,9/7/2015 4:05,427
404,11/15/2015 19:56,11/15/2015 20:22,352
405,10/29/2015 0:03,10/29/2015 0:18,410
406,11/24/2015 14:55,11/24/2015 14:55,958
407,10/10/2015 4:52,10/10/2015 5:06,988
408,12/1/2015 6:42,12/1/2015 7:02,837
409,11/30/2015 8:29,11/30/2015 8:41,213
410,9/29/2015 9:53,9/29/2015 10:02,215
411,11/27/2015 12:10,11/27/2015 12:22,332
412,11/30/2015 17:23,11/30/2015 17:51,62
413,11/3/2015 3:50,11/3/2015 3:55,599
414,9/4/2015 19:29,9/4/2015 19:56,179
415,11/27/2015 18:54,11/27/2015 19:17,448
416,9/22/2015 18:33,9/22/2015 18:38,0
417,11/14/2015 21:58,11/14/2015 22:04,109
418,9/4/2015 8:46,9/4/2015 8:55,45
419,10/14/2015 2:03,10/14/2015 2:17,315
420,9/23/2015 21:10,9/23/2015 21:37,844
421,11/2/2015 6:35,11/2/2015 6:39,276
422,10/26/2015 19:02,10/26/2015 19:18,274
423,9/19/2015 22:36,9/19/2015 22:39,143
424,11/17/2015 20:39,11/17/2015 20:42,892
425,11/10/2015 2:01,11/10/2015 2:20,474
426,10/27/2015 20:00,10/27/2015 20:09,286
427,11/19/2015 9:35,11/19/2015 9:42,354
428,10/19/2015 0:26,10/19/2015 0:52,364
429,10/27/2015 10:38,10/27/2015 11:00,5
430,11/30/2015 10:38,11/30/2015 11:05,931
431,10/15/2015 15:25,10/15/2015 15:36,300
432,11/10/2015 19:15,11/10/2015 19:17,952
433,10/29/2015 0:19,10/29/2015 0:25,664
434,11/15/2015 17:42,11/15/2015 17:46,94
435,10/4/2015 10:45,10/4/2015 11:04,138
436,11/19/2015 10:09,11/19/2015 10:16,647
437,11/29/2015 19:53,11/29/2015 20:04,771
438,10/25/2015 12:17,10/25/2015 12:36,315
439,11/29/2015 20:02,11/29/2015 20:18,531
440,11/7/2015 15:17,11/7/2015 15:35,533
441,8/30/2015 21:14,8/30/2015 21:36,606
442,11/15/2015 5:53,11/15/2015 6:16,746
443,11/10/2015 20:30,11/10/2015 20:31,1
444,11/27/2015 22:53,11/27/2015 23:18,616
445,11/22/2015 20:32,11/22/2015 20:35,822
446,11/10/2015 17:54,11/10/2015 18:23,163
447,10/24/2015 15:00,10/24/2015 15:13,369
448,11/27/2015 9:54,11/27/2015 10:05,781
449,10/6/2015 19:42,10/6/2015 19:57,681
450,11/18/2015 6:32,11/18/2015 6:55,179
451,11/7/2015 13:34,11/7/2015 14:02,355
452,10/28/2015 21:36,10/28/2015 22:04,160
453,11/5/2015 21:06,11/5/2015 21:29,953
454,11/19/2015 17:41,11/19/2015 18:05,604
455,10/21/2015 2:15,10/21/2015 2:33,64
456,10/4/2015 9:35,10/4/2015 9:45,872
457,10/20/2015 8:03,10/20/2015 8:17,283
458,11/14/2015 16:53,11/14/2015 17:22,526
459,11/27/2015 1:56,11/27/2015 2:03,462
460,11/17/2015 2:44,11/17/2015 2:51,2
461,10/30/2015 17:59,10/30/2015 18:02,388
462,10/21/2015 0:08,10/21/2015 0:16,214
463,9/28/2015 17:38,9/28/2015 17:47,550
464,10/23/2015 10:49,10/23/2015 10:58,822
465,11/25/2015 14:38,11/25/2015 14:52,68
466,9/15/2015 23:33,9/15/2015 23:35,946
467,11/25/2015 0:49,11/25/2015 1:07,230
468,10/21/2015 20:55,10/21/2015 20:56,642
469,11/2/2015 11:12,11/2/2015 11:26,847
470,8/11/2015 5:10,8/11/2015 5:18,578
471,8/31/2015 9:44,8/31/2015 9:55,989
472,11/22/2015 19:36,11/22/2015 19:43,146
473,11/13/2015 0:50,11/13/2015 1:12,532
474,11/30/2015 20:50,11/30/2015 21:11,407
475,12/1/2015 10:52,12/1/2015 10:55,928
476,11/4/2015 17:58,11/4/2015 18:20,434
477,9/5/2015 3:03,9/5/2015 3:08,399
478,11/29/2015 15:12,11/29/2015 15:31,219
479,10/5/2015 13:52,10/5/2015 14:16,919
480,9/4/2015 11:29,9/4/2015 11:37,504
481,9/1/2015 12:42,9/1/2015 13:04,976
482,10/6/2015 5:50,10/6/2015 6:14,457
483,11/13/2015 8:45,11/13/2015 8:52,424
484,11/28/2015 5:47,11/28/2015 5:54,801
485,11/22/2015 0:38,11/22/2015 0:49,546
486,11/13/2015 15:00,11/13/2015 15:29,506
487,11/17/2015 19:01,11/17/2015 19:11,805
488,10/10/2015 16:42,10/10/2015 17:08,518
489,9/25/2015 12:44,9/25/2015 13:06,252
490,10/28/2015 19:10,10/28/2015 19:22,157
491,11/4/2015 18:38,11/4/2015 18:46,322
492,10/1/2015 16:47,10/1/2015 17:12,84
493,11/12/2015 17:34,11/12/2015 18:01,276
494,11/4/2015 7:26,11/4/2015 7:47,319
495,11/13/2015 12:56,11/13/2015 13:17,5
496,11/28/2015 11:40,11/28/2015 12:02,542
497,11/5/2015 2:47,11/5/2015 2:53,661
498,8/25/2015 11:50,8/25/2015 12:03,881
499,10/26/2015 19:40,10/26/2015 19:48,308
500,11/24/2015 13:17,11/24/2015 13:35,892
501,11/1/2015 13:15,11/1/2015 13:34,167
502,11/16/2015 21:23,11/16/2015 21:32,793
503,11/28/2015 23:39,11/28/2015 23:48,995
504,9/23/2015 9:55,9/23/2015 10:22,498
505,10/7/2015 10:23,10/7/2015 10:25,162
506,11/13/2015 12:28,11/13/2015 12:31,11
507,11/12/2015 22:05,11/12/2015 22:11,339
508,11/12/2015 11:57,11/12/2015 12:04,91
509,9/25/2015 5:53,9/25/2015 6:18,84
510,9/22/2015 9:16,9/22/2015 9:35,139
511,10/11/2015 19:14,10/11/2015 19:43,330
512,10/20/2015 23:03,10/20/2015 23:27,554
513,11/9/2015 16:29,11/9/2015 16:36,575
514,9/13/2015 19:51,9/13/2015 20:12,1
515,11/23/2015 8:40,11/23/2015 8:42,490
516,10/3/2015 22:12,10/3/2015 22:23,196
517,9/10/2015 22:29,9/10/2015 22:35,726
518,11/3/2015 20:00,11/3/2015 20:01,758
519,10/13/2015 13:05,10/13/2015 13:32,305
520,8/13/2015 17:36,8/13/2015 17:56,10
521,10/12/2015 15:32,10/12/2015 15:52,827
522,10/27/2015 14:54,10/27/2015 15:07,35
523,11/7/2015 10:54,11/7/2015 11:22,250
524,11/3/2015 12:58,11/3/2015 13:12,661
525,10/14/2015 2:17,10/14/2015 2:36,382
526,10/11/2015 1:44,10/11/2015 2:09,85
527,10/21/2015 1:07,10/21/2015 1:19,243
528,9/6/2015 15:36,9/6/2015 15:42,202
529,12/1/2015 17:57,12/1/2015 18:01,667
530,11/25/2015 21:39,11/25/2015 22:07,398
531,10/21/2015 14:32,10/21/2015 14:42,456
532,11/28/2015 6:34,11/28/2015 6:39,183
533,10/4/2015 22:11,10/4/2015 22:39,60
534,11/11/2015 8:35,11/11/2015 8:46,479
535,11/23/2015 14:14,11/23/2015 14:43,490
